,SHOP_JUL,PAY_JUL,SHOP_AUG,PAY_AUG,SHOP_SEP,PAY_SEP,SHOP_OCT,PAY_OCT,SHOP_NOV,PAY_NOV,SHOP_DEC,PAY_DEC,AGE,SEX_F,SEX_M,EDUCATION_graduate school,EDUCATION_high school,EDUCATION_university,MARRIAGE_married,MARRIAGE_single
53613503,8.18640353989,0,2.75188659084,2,3.10284952005,0,2.77530802846,0,3.09974976822,0,10.3899849519,0,3.54076195836,0,1,0,0,1,0,1
35524089,-2.43287904115,-2,2.26547709592,0,8.12635221676,0,13.8090163594,0,4.09601730244,0,3.65667270044,0,3.20753433,0,1,0,0,1,1,0
58777007,-3.663349537,-2,0.0,-2,0.0,-1,3.61304718379,-1,13.1533555856,0,4.05775130881,0,3.44821724038,1,0,0,1,0,1,0
26913418,3.32500650271,-2,4.87162751872,-2,4.46214379433,-2,6.00909159464,-2,4.32309292111,-2,4.46264285974,-2,3.39121144301,1,0,1,0,0,1,0
41993633,0.0,-1,8.28862699363,-1,0.0,-1,3.10078370751,-1,4.92218731923,-1,3.07997245154,-1,3.39121144301,1,0,1,0,0,1,0
46414261,11.8965487871,0,3.02992600399,0,2.97592667505,0,9.02545622625,0,4.50710919083,0,3.80377984468,2,3.0,0,1,0,0,1,0,1
10438751,8.46827025392,0,2.42445487729,0,3.59622072527,0,2.08266307071,0,3.61380830603,2,3.83105778762,1,3.17480210394,0,1,0,0,1,1,0
19267237,-6.51937099832,0,3.248658697,0,4.82256108334,-1,5.35025722349,-1,7.33779006742,-1,5.42388128107,-1,3.20753433,1,0,0,0,1,0,1
39470148,7.7310657394,0,8.46716146153,0,-7.66955649845,0,9.12703159339,0,3.87523532112,0,3.305112034,2,2.92401773821,0,1,0,0,1,0,1
24381216,8.84827467872,0,4.57505850722,0,5.86935982811,0,6.3400543073,0,5.20248442426,0,8.16857012521,0,2.88449914061,1,0,0,0,1,1,0
25126380,12.9591677127,0,3.86860643292,0,3.60388859651,0,4.02120946587,0,4.02428001782,2,5.99695755566,1,3.53034833533,0,1,0,0,1,1,0
30961119,-2.17265592531,-1,0.0,-1,1.65119027675,-1,4.2357282092,-1,0.0,-1,2.11203203387,-1,3.23961180128,1,0,0,1,0,0,1
