,SHOP_JUL,PAY_JUL,SHOP_AUG,PAY_AUG,SHOP_SEP,PAY_SEP,SHOP_OCT,PAY_OCT,SHOP_NOV,PAY_NOV,SHOP_DEC,PAY_DEC,SEX,EDUCATION,MARRIAGE,BIRTH_DATE,DEFAULT PAYMENT JAN
53613503,548.6298672,0,20.8397064,2,29.8732272,0,21.3763512,0,29.7837864,0,1121.6174456,0,M,university,single,,0
35524089,-14.3999688,-2,11.627304,0,536.6448,0,2633.2265928,0,68.7203476,0,48.894304,0,M,university,married,04/01/1983,1
58777007,-49.1626264,-2,0.0,-2,0.0,-1,47.1651152,-1,2275.672088,0,66.812278,0,F,high school,married,02/01/1975,0
26913418,36.7601688,-2,115.6171408,-2,88.844528,-2,216.9833808,-2,80.794856,-2,88.8743416,-2,F,graduate school,married,15/01/1977,0
41993633,0.0,-1,569.43976,-1,0.0,-1,29.8136,-1,119.2544,-1,29.217328,-1,F,graduate school,married,09/01/1978,1
46414261,1683.6932464,0,27.816089,0,26.355222,0,735.203376,0,91.557566,0,55.0359058,2,M,university,single,27/01/1989,1
10438751,607.2732184,0,14.2509008,0,46.509216,0,9.0335208,0,47.1949288,2,56.2284496,1,M,university,married,08/01/1985,1
19267237,-277.0875984,0,34.28564,0,112.1587632,-1,153.1524632,-1,395.0898272,-1,159.5623872,-1,F,university,single,16/01/1983,0
39470148,462.0809864,0,607.0347098,0,-451.1393954,0,760.3064268,0,58.196148,0,36.104269,2,M,university,single,07/01/1992,1
24381216,692.7488096,0,95.7612832,0,202.1958352,0,254.8466528,0,140.8096328,0,545.0522354,0,F,university,married,19/01/1992,1
25126380,2176.362986,0,57.8980116,0,46.807352,0,65.023462,0,65.1725294,2,215.6715826,1,M,university,married,12/01/1973,0
30961119,-10.2558784,-1,0.0,-1,4.5018536,-1,75.9948664,-1,0.0,-1,9.4210976,-1,F,high school,single,31/01/1982,0
18897715,3280.98668,2,513.569074,0,87.592356,0,132.491639,0,135.115235,0,131.090399,0,M,high school,married,28/01/1977,1
12696362,1164.0720116,0,537.2410726,0,359.104812,0,382.419047,-1,2593.544691,-1,156.670468,-1,F,graduate school,married,06/01/1965,0
40407190,658.3141016,2,14.9664272,2,14.2509008,2,9.8086744,2,18.5738728,2,18.037228,2,F,university,married,,1
19419760,1824.443252,2,34.881912,2,28.412361,2,46.509216,-1,2145.982928,2,54.5588876,2,F,university,single,19/01/1992,0
35978526,5494.6464798,2,534.3491526,0,84.5811834,0,65.232157,0,108.044486,0,101.097918,0,F,university,married,04/01/1960,0
48361974,473.1716456,0,6.8869416,0,6.111788,2,14.4894096,0,4.770176,0,3.6670728,0,F,graduate school,single,09/01/1987,1
27564131,285.2267112,0,9.7192336,0,8.7055712,-1,97.0134544,-1,377.6190576,0,71.2843176,0,F,graduate school,single,30/01/1987,0
45489390,2275.642274,0,41.291836,0,26.504291,0,471.144321,0,438.051224,0,224.4964088,0,M,university,single,15/01/1987,0
34687322,19.7067896,0,788.5995336,0,1204.6483216,-1,2991.436997,0,47.224742,0,227.447955,0,F,university,single,15/01/1972,1
49190836,2524.2280716,0,900.311092,0,766.5970972,0,804.370928,0,169.7288246,0,1052.986539,0,F,university,single,26/01/1973,0
34005488,0.0,-2,0.0,-2,0.0,-1,82.6432992,-1,1073.080905,-1,12.819848,-1,F,graduate school,single,22/01/1986,0
58996480,-45.5849944,-1,24.4173384,2,29.2471416,0,8.2583672,0,40.099292,0,37.3862544,0,F,high school,married,16/01/1974,0
41269151,511.1243584,0,46.8967928,0,17.88816,0,22.3602,0,48.6259816,2,18.0968552,1,F,high school,single,04/01/1970,0
54925120,5595.7145836,0,296.1683024,0,477.5542454,0,1306.6406474,0,129.8978552,0,177.241852,0,F,graduate school,single,01/01/1988,0
56423387,213.763512,-1,218.3548064,-1,104.3476,-1,181.8033328,-1,0.0,-1,40.6359368,-1,F,graduate school,married,06/01/1966,0
30681904,0.0,-2,0.0,-2,0.0,0,2441.435704,0,2529.773401,0,147.964897,2,M,university,single,21/01/1984,1
10872689,1349.035586,2,21.078216,2,30.708008,2,30.618567,2,29.48565,2,29.5452774,2,F,graduate school,married,21/01/1983,1
52211921,471.9194744,0,501.7330744,0,846.8553082,0,488.913226,0,36.462033,0,52.740258,0,M,university,single,,0
23909810,1317.7909338,0,54.797397,0,20.4223158,0,18.544059,0,15.1154952,0,9.0335208,-1,M,graduate school,single,04/01/1988,0
52207017,909.881258,0,1348.021924,0,686.2494456,0,1252.4097082,0,1461.641554,0,1268.0022214,0,F,university,single,16/01/1982,0
10985930,543.1441648,2,32.944028,2,8.1092992,2,18.3055504,2,17.291888,2,17.3515152,1,M,university,married,24/01/1967,1
50206169,1742.634734,0,33.480672,0,46.598657,0,203.090243,0,754.880352,2,1295.0729704,1,F,high school,married,04/01/1955,1
36872849,38.1017808,-1,11.627304,-1,9.0037072,-1,0.0,-1,47.4334376,-1,0.0,-2,F,university,single,16/01/1987,0
31681972,0.0,0,462.85614,0,11.7465584,0,30.4993128,0,6.9167552,0,17.88816,0,M,graduate school,single,14/01/1972,0
49902601,-174.260492,-2,829.0565888,-2,611.5067496,-2,665.439552,-2,307.2589616,-2,266.7720928,-2,F,university,single,14/01/1979,0
50561918,-9.838488,-2,178.8816,-2,51.5179008,-2,53.6346664,-2,56.3775176,-2,114.335156,-2,F,university,married,09/01/1981,0
