,SHOP_JUL_NET,PAY_JUL,SHOP_AUG_NET,PAY_AUG,SHOP_SEP_NET,PAY_SEP,SHOP_OCT_NET,PAY_OCT,SHOP_NOV_NET,PAY_NOV,SHOP_DEC_NET,PAY_DEC,SEX,EDUCATION,MARRIAGE,BIRTH_DATE,DEFAULT PAYMENT JAN
53613503,0.32804,0,-0.00602,2,0.02004,0,-0.03166,0,-0.08002,0,0.69242,0,M,university,single,,0
35524089,-0.00254210526316,-2,0.00205263157895,0,0.0947368421053,0,0.459594736842,0,-0.0160842105969,0,-0.0176842105263,0,M,university,married,04/01/1983,1
58777007,-0.0126142857143,-2,0.0,-2,0.0,-1,0.00482380952381,-1,0.27840952381,0,0.00114761911151,0,F,high school,married,02/01/1975,0
26913418,-0.0200866666667,-2,-0.0204433333333,-2,0.00203666666667,-2,0.0143333333333,-2,-0.0152533333333,-2,0.00093,-2,F,graduate school,married,15/01/1977,0
41993633,0.0,-1,0.159166666667,-1,-0.159166666667,-1,0.00833333333333,-1,0.025,-1,-0.0251666666667,-1,F,graduate school,married,09/01/1978,1
46414261,0.6804125,0,-0.0158374999161,0,-0.0152000001677,0,0.28325,0,-0.000362499832291,0,-0.0220874999161,2,M,university,single,27/01/1989,1
10438751,1.01845,0,-0.0611,0,0.03545,0,-0.01935,0,0.014,2,0.0943,1,M,university,married,08/01/1985,1
19267237,-0.0516333333333,0,0.00319444444444,0,0.01045,-1,0.000625,-1,0.0130972222222,-1,-0.0125222222222,-1,F,university,single,16/01/1983,0
39470148,0.29798,0,0.383380000134,0,-0.314880000134,0,0.497199999732,0,0.0130400005367,0,-0.0357800004025,2,M,university,single,07/01/1992,1
24381216,0.39172,0,-0.01576,0,-0.02436,0,0.13096,0,0.02436,0,0.325640000134,0,F,university,married,19/01/1992,1
25126380,0.874987499832,0,-0.00404999983229,0,-0.024125,0,-0.0102374998323,0,-0.0128500000839,2,0.0746625000839,1,M,university,married,12/01/1973,0
30961119,-0.00901428571429,-1,-0.0041,-1,0.00107857142857,-1,0.0171285714286,-1,-0.0182071428571,-1,0.00225714285714,-1,F,high school,single,31/01/1982,0
18897715,0.589166666667,2,0.0957000000745,0,-0.0336777779269,0,0.00024444455625,0,-0.00815555559282,0,-0.00890555559282,0,M,high school,married,28/01/1977,1
12696362,0.0341219999732,0,0.0335980000403,0,-0.106766000013,0,0.0256539999866,-1,0.09944,-1,-0.163473999987,-1,F,graduate school,married,06/01/1965,0
40407190,0.736033333333,2,-0.0432666666667,2,0.0159333333333,2,-0.0557,2,0.0207666666667,2,-0.113166666667,2,F,university,married,,1
19419760,0.8385,2,-0.0261428571429,2,-0.0506714284756,2,0.0222857142857,-1,0.137671428476,2,0.0260571426655,2,F,university,single,19/01/1992,0
35978526,0.684574999972,2,0.0475291666387,0,-0.0609458333054,0,-0.240883333305,0,-0.00573333338924,0,-0.0129541666108,0,F,university,married,04/01/1960,0
48361974,0.132258333333,0,-0.0147416666667,0,-0.0232916666667,2,0.00405,0,-0.0210916666667,0,-0.023975,0,F,graduate school,single,09/01/1987,1
27564131,0.0329,0,-0.00727826086957,0,-0.0204695652174,-1,-0.0119391304348,-1,0.0420260869565,0,0.00125652173913,0,F,graduate school,single,30/01/1987,0
45489390,0.158064444415,0,-0.0413666666667,0,-0.0424688888442,0,0.0128955555705,0,0.0102622221626,0,-0.00563999994037,0,M,university,single,15/01/1987,0
34687322,-0.0347142857143,0,0.376442857143,0,0.561171428571,-1,0.0828285715244,0,-0.000228571620239,0,0.0647000002875,0,F,university,single,15/01/1972,1
49190836,0.271252381016,0,0.123704761777,0,0.102980952445,0,0.104261904762,0,-0.00432380955575,0,0.137233333429,0,F,university,single,26/01/1973,0
