,CUM_PAY_JUL,PAY_JUL,CUM_PAY_AUG,PAY_AUG,CUM_PAY_SEP,PAY_SEP,CUM_PAY_OCT,PAY_OCT,CUM_PAY_NOV,PAY_NOV,CUM_PAY_DEC,PAY_DEC,SEX,EDUCATION,MARRIAGE,BIRTH_DATE,DEFAULT PAYMENT JAN
53613503,59.6272,0,89.4408,2,89.4408,0,158.01208,0,307.08008,0,396.52088,0,M,university,single,,0
35524089,0.0,-2,0.0,0,0.0,0,29.8136,0,189.6443096,0,338.7123096,0,M,university,married,04/01/1983,1
58777007,29.8136,-2,29.8136,-2,29.8136,-1,46.7775384,-1,579.3676888,0,638.9948888,0,F,high school,married,02/01/1975,0
26913418,216.4169224,-2,514.880872,-2,585.5092904,-2,674.2941912,-2,891.5160808,-2,972.072428,-2,F,graduate school,married,15/01/1977,0
41993633,0.0,-1,0.0,-1,569.43976,-1,569.43976,-1,599.25336,-1,718.50776,-1,F,graduate school,married,09/01/1978,1
46414261,60.8495576,0,126.4394776,0,189.0480376,0,248.6752376,0,341.0973976,0,448.8139344,2,M,university,single,27/01/1989,1
10438751,0.0,0,50.68312,0,76.0544936,0,96.6258776,0,135.4729984,2,135.4729984,1,M,university,married,08/01/1985,1
19267237,277.0875984,0,277.0875984,0,277.0875984,-1,423.5320016,-1,678.0507048,-1,972.0128008,-1,F,university,single,16/01/1983,0
39470148,17.88816,0,53.4259712,0,71.6718944,0,90.8122256,0,129.5699056,0,219.0107056,2,M,university,single,07/01/1992,1
24381216,108.81964,0,228.07404,0,466.58284,0,526.21004,0,630.706708,0,690.333908,0,F,university,married,19/01/1992,1
25126380,89.4408,0,156.9984176,0,261.3460176,0,350.7868176,0,446.607728,2,484.2026776,1,M,university,married,12/01/1973,0
30961119,27.3688848,-1,44.4818912,-1,44.4818912,-1,48.9837448,-1,124.9786112,-1,124.9786112,-1,F,high school,single,31/01/1982,0
18897715,119.2544,2,119.2544,0,387.5768,0,518.75664,0,697.63824,0,876.51984,0,M,high school,married,28/01/1977,1
12696362,655.4221824,0,691.824588,0,2642.468809,0,2642.468809,-1,3753.681308,-1,6347.225999,-1,F,graduate school,married,06/01/1965,0
40407190,0.0,2,53.66448,2,53.66448,2,113.29168,2,113.29168,2,232.54608,2,F,university,married,,1
19419760,74.534,2,163.9748,2,298.136,2,298.136,-1,2156.805265,2,2156.9841466,2,F,university,single,19/01/1992,0
35978526,596.3316272,2,790.5970448,0,1311.2617552,0,3100.0777552,0,3249.1457552,0,3442.9341552,0,F,university,married,04/01/1960,0
48361974,0.0,0,59.6272,0,149.068,2,149.068,0,229.2963976,0,318.7371976,0,F,graduate school,single,09/01/1987,1
27564131,59.6272,0,119.2544,0,268.3224,-1,447.204,-1,536.6448,0,599.3129872,0,F,graduate school,single,30/01/1987,0
45489390,155.03072,0,751.30272,0,1347.57472,0,1645.71072,0,1946.08274,0,2246.2460648,0,M,university,single,15/01/1987,0
34687322,92.1538376,0,95.1351976,0,128.645684,-1,2947.223428,0,2994.925188,0,3087.347348,0,F,university,single,15/01/1972,1
49190836,825.9559744,0,951.7693664,0,1073.6175496,0,1225.2197056,0,1422.0192792,0,1615.8076792,0,F,university,single,26/01/1973,0
34005488,0.0,-2,0.0,-2,0.0,-1,0.0,-1,82.6432992,-1,1155.7242042,-1,F,graduate school,single,22/01/1986,0
58996480,71.999844,-1,98.4146936,2,98.4146936,0,118.359992,0,151.3934608,0,191.4927528,0,F,high school,married,16/01/1974,0
41269151,0.0,0,0.0,0,11.92544,0,59.6272,0,113.29168,2,113.29168,1,F,high school,single,04/01/1970,0
54925120,179.8952624,0,359.1942528,0,538.9404472,0,807.6802376,0,1114.9690128,0,1383.2914128,0,F,graduate school,single,01/01/1988,0
56423387,68.4520256,-1,350.6675632,-1,569.0223696,-1,673.3699696,-1,855.1733024,-1,855.1733024,-1,F,graduate school,married,06/01/1966,0
30681904,0.0,-2,0.0,-2,0.0,0,0.0,0,119.2544,0,345.83776,2,M,university,single,21/01/1984,1
10872689,68.57128,2,187.82568,2,187.82568,2,247.45288,2,313.0428,2,415.1245664,2,F,graduate school,married,21/01/1983,1
52211921,29.8136,0,38.75768,0,146.08664,0,193.7884,0,278.160888,0,367.601688,0,M,university,single,,0
23909810,47.4632512,0,107.0904512,0,159.949964,0,458.085964,0,771.9933584,0,1219.4060536,-1,M,graduate school,single,04/01/1988,0
52207017,954.0352,0,1967.6976,0,2030.3359736,0,2146.9667768,0,3339.5107768,0,3599.9027592,0,F,university,single,16/01/1982,0
10985930,29.8136,2,29.8136,2,89.4408,2,119.2544,2,149.068,2,178.8816,1,M,university,married,24/01/1967,1
50206169,65.58992,0,143.10528,0,232.54608,0,313.0428,0,575.40248,2,578.3540264,1,F,high school,married,04/01/1955,1
36872849,0.0,-1,38.1017808,-1,49.7290848,-1,58.732792,-1,58.732792,-1,106.1662296,-2,F,university,single,16/01/1987,0
31681972,0.0,0,0.0,0,24.59622,0,45.1079768,0,82.1662816,0,118.8966368,0,M,graduate school,single,14/01/1972,0
49902601,422.9655432,-2,671.6705944,-2,1500.7271832,-2,2113.933308,-2,2777.6734848,-2,3084.9324464,-2,F,university,single,14/01/1979,0
50561918,9.838488,-2,9.838488,-2,188.720088,-2,240.2379888,-2,293.8726552,-2,350.2501728,-2,F,university,married,09/01/1981,0
46730642,43.7663648,0,73.6992192,0,103.9302096,0,133.7438096,2,163.6468504,2,296.2577432,2,M,university,single,24/01/1994,1
13673924,0.0,0,178.8816,0,327.9496,2,327.9496,2,685.7128,2,685.7128,1,F,high school,married,20/01/1958,0
16303077,14.9068,0,29.8136,2,29.8136,2,59.6272,2,89.4408,0,149.068,0,F,high school,single,28/01/1962,0
17507873,29.8136,0,59.6272,0,89.4408,2,119.2544,0,178.8816,0,212.9287312,0,M,university,single,01/01/1994,0
35350659,52.2036136,0,98.235812,0,148.620796,0,197.3958456,0,247.303812,0,306.931012,0,M,high school,married,26/01/1982,0
33327740,14.9068,0,44.7204,0,53.66448,0,83.47808,0,170.7424872,0,215.4628872,0,M,university,single,23/01/1994,0
37153557,253.4156,0,492.222536,0,730.731336,0,1028.867336,0,1297.189736,0,1511.847656,0,F,university,married,10/01/1984,0
35682819,0.1192544,-2,271.2143192,-2,299.5372392,-2,408.3568792,-2,438.856192,-2,495.5616592,-2,M,university,married,05/01/1968,0
22830059,29.8136,-1,635.02968,0,643.8545056,0,674.7115816,0,719.99844,0,766.0902656,0,M,university,single,28/01/1994,0
58275848,19.229772,2,19.229772,3,19.229772,-1,28.173852,-2,28.173852,-2,28.173852,1,F,high school,married,27/01/1977,0
47179081,14.9068,0,25.192492,0,34.8520984,0,48.6856088,0,87.2644072,0,125.7239512,0,M,university,single,27/01/1992,0
