,CUM_SHOP_JUL,PAY_JUL,CUM_SHOP_AUG,PAY_AUG,CUM_SHOP_SEP,PAY_SEP,CUM_SHOP_OCT,PAY_OCT,CUM_SHOP_NOV,PAY_NOV,CUM_SHOP_DEC,PAY_DEC,SEX,EDUCATION,MARRIAGE,BIRTH_DATE,DEFAULT PAYMENT JAN
53613503,489.0026672,0,480.0287736,2,509.9020008,0,462.707072,0,343.4228584,0,1375.599504,0,M,university,single,,0
35524089,-14.3999688,-2,-2.7726648,0,533.8721352,0,3137.285128,0,3046.174766,0,2946.00107,0,M,university,married,04/01/1983,1
58777007,-78.9762264,-2,-78.9762264,-2,-78.9762264,-1,-48.7750496,-1,1694.306888,0,1701.491966,0,F,high school,married,02/01/1975,0
26913418,-179.6567536,-2,-362.5035624,-2,-344.2874528,-2,-216.0889728,-2,-352.5160064,-2,-344.198012,-2,F,graduate school,married,15/01/1977,0
41993633,0.0,-1,569.43976,-1,0.0,-1,29.8136,-1,119.2544,-1,29.217328,-1,F,graduate school,married,09/01/1978,1
46414261,1622.8436888,0,1585.0698578,0,1548.8165198,0,2224.3926958,0,2223.5281018,0,2170.8474708,2,M,university,single,27/01/1989,1
10438751,607.2732184,0,570.8409992,0,591.9788416,0,580.4409784,0,588.7887864,2,645.017236,1,M,university,married,08/01/1985,1
19267237,-554.1751968,0,-519.8895568,0,-407.7307936,-1,-401.0227336,-1,-260.4516096,-1,-394.8513184,-1,F,university,single,16/01/1983,0
39470148,444.1928264,0,1015.689725,0,546.3044064,0,1287.470502,0,1306.90897,0,1253.572439,2,M,university,single,07/01/1992,1
24381216,583.9291696,0,560.4360528,0,524.123088,0,719.3425408,0,755.6555056,0,1241.080541,0,F,university,married,19/01/1992,1
25126380,2086.922186,0,2077.26258,0,2019.722332,0,1995.304994,0,1964.656613,2,2142.733246,1,M,university,married,12/01/1973,0
30961119,-37.6247632,-1,-54.7377696,-1,-50.235916,-1,21.2570968,-1,-54.7377696,-1,-45.316672,-1,F,high school,single,31/01/1982,0
18897715,3161.73228,2,3675.301354,0,3494.57131,0,3495.883109,0,3452.116744,0,3404.325543,0,M,high school,married,28/01/1977,1
12696362,508.6498292,0,1009.4884962,0,-582.0509128,0,-199.6318658,-1,1282.7003262,-1,-1154.1738968,-1,F,graduate school,married,06/01/1965,0
40407190,658.3141016,2,619.6160488,2,633.8669496,2,584.048424,2,602.6222968,2,501.4051248,2,F,university,married,,1
